table,context
"{'column_header': ['countryxa0(sports)', 'residence', 'born', 'height', 'turnedxa0pro', 'retired', 'plays', 'coach', 'prize_money', 'int._tennis_hof', 'careerxa0record', 'careerxa0titles', 'highestxa0ranking', 'australianxa0open', 'frenchxa0open', 'wimbledon', 'us_open', 'tourxa0finals', 'fed_cup', 'wightman_cup'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['united states', 'rolling hills, california, u.s.', 'december 12, 1962 palos verdes peninsula, california, u.s.[1]', '5xa0ft 5xa0in', 'october 23, 1978', 'july 1994', 'right-handed[1]', 'pancho segura, robert lansdorp, vic braden', '$2,092,380[2]', '1992', '156', '1', 'no. 41 [3]', 'qf', 'qf', 'w', 'sf', 'w', 'w', 'w']}","tracy ann austin holt (born december 12, 1962) is an american former world no. 1 tennis player. she won three major titles, the women's singles titles at the 1979 and 1981 us opens, and the mixed doubles title at the 1980 wimbledon championships. additionally, she won the wta tour championships in 1980 and the year-ending toyota championships in 1981, both in singles. tracy ann austin holt (born december 12, 1962) is an american former world no. 1 tennis player. she won three major titles, the women's singles titles at the 1979 and 1981 us opens, and the mixed doubles title at the 1980 wimbledon championships. additionally, she won the wta tour championships in 1980 and the year-ending toyota championships in 1981, both in singles. tracy austin was born december 12, 1962, in palos verdes peninsula, california. her parents were george and jeanne austin. in january 1977, a month after turning fourteen, austin won her first professional singles title, defeating stacy margolin at the avon futures event in portland. as an amateur she could not accept the prize money. at her wimbledon debut in 1977 she reached the third round where she lost to top-seeded chris evert. in september, she made her us open debut and reached the quarterfinal, falling to fifth-seeded betty stöve. austin followed up with tournament wins in tokyo and washington, defeating martina navratilova in both finals. she defeated 35-year-old billie jean king in the quarterfinals of the 1979 wimbledon championships, then lost to eventual champion navratilova in straight sets in the semifinals. in september, austin became the youngest-ever us open champion, aged 16 years and 9 months, by defeating second-seeded navratilova in the semifinals and top seed chris evert in the final. evert had been attempting to win the title for the fifth consecutive year. earlier that year, austin ended evert's 125-match winning streak on clay by beating her in three sets in a semifinal of the italian open. austin lost in the semifinals of both grand slam tournaments she played in 1980. evonne goolagong cawley, seeded fourth and the eventual champion, defeated austin at the wimbledon championships. as the top seed and defending champion at the us open, austin was expected to extend her five-match winning streak against third-ranked evert. austin took a 4–0 lead in the first set before evert won 16 of the final 20 games to win the match. evert went on to defeat hana mandlíková in the final. austin was ranked the world no. 1 singles player in 1980 for two weeks (april 7–20) and then for 19 weeks (july 7-november 17), partly because she captured the two tour-ending events. austin defeated navratilova to win the avon championships in march and andrea jaeger to capture the 1980 colgate series championships in january 1981. in 1980, austin won the wimbledon mixed doubles title with her brother john, becoming the first brother and sister team to win a grand slam title together. during the first four months of 1981, austin played only two events because of chronic injuries. on grass, she defended her singles title at the eastbourne international in the united kingdom in june without losing a set. after wimbledon, austin won 26 consecutive matches and four consecutive tournaments. she defeated pam shriver in the final of the wells fargo open in san diego, and three weeks later, she beat both navratilova and evert in straight sets to win the canadian open in toronto. as the third-seeded player at the us open, austin defeated fourth-seeded navratilova in a three-set final. navratilova, however, ended austin's winning streak in the final of the u.s. indoor championships. in europe during the autumn, austin lost to sue barker in the quarterfinals of the brighton international in brighton, united kingdom, but recovered the following week to defeat navratilova in the final of the porsche tennis grand prix in stuttgart, west germany. at the final grand slam tournament of the year, austin was seeded second but lost to sixth-seeded shriver in the australian open quarterfinals. the 1981 year-ending toyota series championships featured two matches against evert and one against navratilova. evert won her round-robin match with austin, then austin defeated evert in their semifinal. austin won the tournament with a three-set defeat of navratilova. the associated press named austin its 1981 female athlete of the year for the second time. back injuries and recurring sciatica then began to impair austin's effectiveness and sidelined her for long stretches. billie jean king, seeded twelfth, upset third-seeded austin in the 1982 wimbledon quarterfinals. several weeks later, however, austin won her 30th and final top-level singles title in san diego. austin had a good showing at the 1982 season-ending toyota series championships where she defeated jaeger, the world no. 3, in straight sets to reach the semifinals. however, she was unable to repeat 1981's victory over evert, who defeated her in the semifinals. in 1992, austin became the youngest person to be inducted into the international tennis hall of fame, at the age of 29. she attempted a second comeback in 1993 and 1994 but was not particularly successful. in 1993, austin upset rennae stubbs and katerina maleeva at the evert cup in indian wells, california, then lost to stephanie rottier. at the wta manhattan beach event, she upset gigi fernández and elena likhovtseva, then lost to gabriela sabatini in the round of 16. her wins over maleeva, fernandez, and likhovtseva began a buzz that austin might become at least a top 20 player again. however, in 1994, her results were not as promising and at the evert cup in indian wells, california, austin lost in the second round to steffi graf, and austin soon retired in june 1994. since retiring as a player, austin has worked as a commentator for nbc and the usa network for the french open and the us open. during the 2000s, she worked for the seven network, which broadcast the australian open and usually participates in the bbc's wimbledon coverage. she began working for the tennis channel in 2010 and joined its us open team and later its australian open team in 2012. austin has worked for canadian television for its coverage of the rogers cup since 2004."
"{'column_header': ['born', 'occupation', 'spouses'], 'row_number': [1, 1, 1], 'content': ['3 june 1950 rome', 'actor', 'patrizianubnnbarbara divitanu simonetta benincasa ']}","maurizio mattioli (born 3 june 1950) is an italian actor and comedian. born in rome, mattioli started his career in 1973, when he appeared in the rai variety show dove sta zazà. he got his first successes as a member of the stage company ""il bagaglino"", with whom he worked in a number of stage and television projects between seventies and early nineties. mattioli later established himself as one of the most active character actors in italian cinema, and he was nominated twice in the best supporting actor category at the nastro d'argento, in 2003 for carlo vanzina's sunday lunch and in 2011 for paolo genovese's the immature."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'weight', 'school', 'university', 'position(s)', 'current_team', '2007', '2008/2010', 'years', '2009/2013', '2015present', '2013', '2014'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['victor eric kruger', '19 january 1989', 'welkom, south africa', '1.99xa0m', '114xa0kg', 'horskool strand, strand', 'north-west university', 'lock', 'rustenburg impala', 'boland cavaliers', 'leopards', 'nwu pukke', '28', '', '', 'rustenburg impala']}","he was part of the boland u19 squad that played in the 2007 under-19 provincial championship competition. he then moved to potchefstroom, where he joined the leopards, as well as university side nwu pukke. he was included in the leopards u19 squad for the 2008 under-19 provincial championship competition and in the leopards u21 squad for the 2009 and 2010 under-21 provincial championship competitions. he was part of the boland u19 squad that played in the 2007 under-19 provincial championship competition. he then moved to potchefstroom, where he joined the leopards, as well as university side nwu pukke. he was included in the leopards u19 squad for the 2008 under-19 provincial championship competition and in the leopards u21 squad for the 2009 and 2010 under-21 provincial championship competitions. he also played for – and captained – the nwu pukke in the varsity cup competition, representing them from 2009 to 2013. he joined griquas in 2013 on a short-term contract, following a series of injuries to griquas locks. he joined wellington-based side boland cavaliers prior to the 2014 season."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '0000/2015', '2016/2019', 'years', '2015/2016', '2019/2020', '2020/2021', '2021/2022', '2023', '2016', '2017'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['midana quintino samb', '10 june 1998', 'bissau, guinea-bissau', '1.70xa0m', 'winger, attacking midfielder', 'belenenses', '11', 'sacavenense', '', 'team', 'apps', 'sacavenense', '1', '', 'braga b', '11', '']}","on 27 september 2017, sambú made his professional debut with braga b in a 2017–18 ligapro match against famalicão."
"{'column_header': ['nominated_by', 'appointed_by', 'prime_minister', 'minister', 'preceded_by', 'born'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['n. v. ramana', 'ram nath kovind', 'narendra modi', 'ravi shankar prasad kiren rijiju', 'alok srivastava, ias', '6 march 1963']}","anoop kumar mendiratta (born 6 march 1963) is an indian judge. presently, he is serving as judge of delhi high court. previously, he has served as law secretary of india. he also served as the principal secretary (law) in the government of the national capital territory of delhi, during which he had disagreements with delhi law minister kailash gahlot, resulting in his repatriation to his parent judicial cadre."
"{'column_header': ['born', 'genres', 'occupations'], 'row_number': [1, 1, 1], 'content': ['august 16, 1994', 'pop', 'singersongerwriter']}","áine cahill (born 16 august 1994) is a pop singer-songwriter from county cavan, ireland. she spent her childhood heavily involved with her local gaa club, ballyhaise, then discovered her love of music at the age of 16. she is inspired by current music, citing lady gaga, lana del rey and marina and the diamonds as her main influences but combines that with her love of classic jazz from the 1950s. cahills's unique sound and writing style captivates the listener; her storytelling evoking emotion and vivid imagery, allowing the audience to escape into her world."
"{'column_header': ['birth_name', 'born', 'genres', 'occupation(s)', 'instrument(s)'], 'row_number': [1, 1, 1, 1, 1], 'content': ['isabella levina lueen', '1 may 1991 bonn, germany', 'pop', 'singersongwriter', 'vocals']}","isabella levina lueen (born 1 may 1991), better known mononymously as levina (german pronunciation: [lɛˈviːna]), is a german singer-songwriter. she represented germany in the eurovision song contest 2017 in kyiv with the song ""perfect life"" and finished in 25th place with 6 points in the final. levina was born in bonn as isabella lueen, and was raised in chemnitz. she attended the dr.-wilhelm-andré-gymnasium, and graduated with an international baccalaureate degree from the impington village college in cambridge (uk) in 2009. she then moved to london where she earned her bachelor's degree from king's college london. she splits her time between berlin and london, where she studies music management at the london college of music."
"{'column_header': ['preceded_by', 'succeeded_by', 'parliamentary_group', 'born', 'political_party', 'profession'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['bernard moncla', 'clment rossignol puech', 'green', '25 december 1948 libourne, gironde, france', 'ge ces lv eelv gnration.s', 'journalist']}","noël mamère (french pronunciation: [nɔɛl mamɛʁ]; born 25 december 1948) is a french journalist and politician. he was the mayor of bègles in gironde as well as deputy to the french national assembly for that constituency. he was for several years a member of the party europe écologie–the greens, but left it in late september 2013."
"{'column_header': ['born', 'occupation(s)'], 'row_number': [1, 1], 'content': ['anna louise burgstede september 18, 1983 waupaca, wisconsin', 'film, television actress film and television writer']}","annie burgstede (born anna louise burgstede on september 18, 1983, in waupaca, wisconsin) is an american actress. this article about a united states film and television actor born in the 1980s is a stub. you can help wikipedia by expanding it."
"{'column_header': ['born', 'nationality', 'almaxa0mater', 'occupation(s)', 'parent', 'relatives', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1], 'content': ['7 july 1957 hamburg, west germany', 'german', 'muthesius academy', 'media entrepreneur, musician', 'werner otto', 'michael otto katharina otto-bernstein alexander otto', 'frank otto medien']}","frank otto (born 7 july 1957) is a german media entrepreneur and pioneer in the field of private radio and private television in germany. aside from frank otto medien beteiligungs gmbh & co.kg, he is also involved in various radio and tv stations. frank otto is the second-eldest son of werner otto, the founder of the otto group. born in hamburg, he was trained as a restorer of paper and graphics at the hamburg museum of arts and crafts and studied fine art at the muthesius academy of kiel. after that, he was active as a musician and music producer."
