table,context
"{'column_header': ['country\xa0(sports)', 'residence', 'born', 'height', 'turned\xa0pro', 'retired', 'plays', 'coach', 'prize_money', 'int._tennis_hof', 'career\xa0record', 'career\xa0titles', 'highest\xa0ranking', 'australian\xa0open', 'french\xa0open', 'wimbledon', 'us_open', 'tour\xa0finals', 'fed_cup', 'wightman_cup'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['United States', 'Rolling Hills, California, U.S.', '(1962-12-12) December 12, 1962 (age\xa061)Palos Verdes Peninsula, California, U.S.[1]', '5\xa0ft 5\xa0in (1.65\xa0m)', 'October 23, 1978 (age 15)', 'July 1994 (age 31)', 'Right-handed[1](two-handed backhand)', 'Pancho Segura, Robert Lansdorp, Vic Braden', '$2,092,380[2]', '1992 (member page)', '15–6', '1', 'No. 41 (August 14, 1989)[3]', 'QF (1981)', 'QF (1982, 1983)', 'W (1980)', 'SF (1988)', 'W (1980)', 'W (1978, 1979, 1980)', 'W (1979, 1981)']}","Tracy Ann Austin Holt (born December 12, 1962) is an American former world No. 1 tennis player. She won three major titles, the women's singles titles at the 1979 and 1981 US Opens, and the mixed doubles title at the 1980 Wimbledon Championships. Additionally, she won the WTA Tour Championships in 1980 and the year-ending Toyota Championships in 1981, both in singles.
Tracy Ann Austin Holt (born December 12, 1962) is an American former world No. 1 tennis player. She won three major titles, the women's singles titles at the 1979 and 1981 US Opens, and the mixed doubles title at the 1980 Wimbledon Championships. Additionally, she won the WTA Tour Championships in 1980 and the year-ending Toyota Championships in 1981, both in singles.
Tracy Austin was born December 12, 1962, in Palos Verdes Peninsula, California.[6] Her parents were George and Jeanne Austin.[7]
In January 1977, a month after turning fourteen, Austin won her first professional singles title, defeating Stacy Margolin at the Avon Futures event in Portland.[8][9] As an amateur she could not accept the prize money.[10][8] At her Wimbledon debut in 1977 she reached the third round where she lost to top-seeded Chris Evert. In September, she made her US Open debut and reached the quarterfinal, falling to fifth-seeded Betty Stöve.[11]
Austin followed up with tournament wins in Tokyo and Washington, defeating Martina Navratilova in both finals.[15] She defeated 35-year-old Billie Jean King in the quarterfinals of the 1979 Wimbledon Championships, then lost to eventual champion Navratilova in straight sets in the semifinals. In September, Austin became the youngest-ever US Open champion, aged 16 years and 9 months, by defeating second-seeded Navratilova in the semifinals and top seed Chris Evert in the final.[16][11] Evert had been attempting to win the title for the fifth consecutive year.[11] Earlier that year, Austin ended Evert's 125-match winning streak on clay by beating her in three sets in a semifinal of the Italian Open.[17][16]
Austin lost in the semifinals of both Grand Slam tournaments she played in 1980. Evonne Goolagong Cawley, seeded fourth and the eventual champion, defeated Austin at the Wimbledon Championships. As the top seed and defending champion at the US Open, Austin was expected to extend her five-match winning streak against third-ranked Evert. Austin took a 4–0 lead in the first set before Evert won 16 of the final 20 games to win the match. Evert went on to defeat Hana Mandlíková in the final. Austin was ranked the world No. 1 singles player in 1980 for two weeks (April 7–20) and then for 19 weeks (July 7-November 17), partly because she captured the two tour-ending events. Austin defeated Navratilova to win the Avon Championships in March and Andrea Jaeger to capture the 1980 Colgate Series Championships in January 1981. In 1980, Austin won the Wimbledon mixed doubles title with her brother John, becoming the first brother and sister team to win a Grand Slam title together.[1]
During the first four months of 1981, Austin played only two events because of chronic injuries. On grass, she defended her singles title at the Eastbourne International in the United Kingdom in June without losing a set. After Wimbledon, Austin won 26 consecutive matches and four consecutive tournaments.[16] She defeated Pam Shriver in the final of the Wells Fargo Open in San Diego, and three weeks later, she beat both Navratilova and Evert in straight sets to win the Canadian Open in Toronto. As the third-seeded player at the US Open, Austin defeated fourth-seeded Navratilova in a three-set final. Navratilova, however, ended Austin's winning streak in the final of the U.S. Indoor Championships. In Europe during the autumn, Austin lost to Sue Barker in the quarterfinals of the Brighton International in Brighton, United Kingdom, but recovered the following week to defeat Navratilova in the final of the Porsche Tennis Grand Prix in Stuttgart, West Germany. At the final Grand Slam tournament of the year, Austin was seeded second but lost to sixth-seeded Shriver in the Australian Open quarterfinals. The 1981 year-ending Toyota Series Championships featured two matches against Evert and one against Navratilova. Evert won her round-robin match with Austin, then Austin defeated Evert in their semifinal. Austin won the tournament with a three-set defeat of Navratilova.[19] The Associated Press named Austin its 1981 Female Athlete of the Year for the second time.[20]
Back injuries and recurring sciatica then began to impair Austin's effectiveness and sidelined her for long stretches. Billie Jean King, seeded twelfth, upset third-seeded Austin in the 1982 Wimbledon quarterfinals. Several weeks later, however, Austin won her 30th and final top-level singles title in San Diego. Austin had a good showing at the 1982 season-ending Toyota Series Championships where she defeated Jaeger, the world No. 3, in straight sets to reach the semifinals. However, she was unable to repeat 1981's victory over Evert, who defeated her in the semifinals.
In 1992, Austin became the youngest person to be inducted into the International Tennis Hall of Fame, at the age of 29.[1] She attempted a second comeback in 1993 and 1994 but was not particularly successful. In 1993, Austin upset Rennae Stubbs and Katerina Maleeva at the Evert Cup in Indian Wells, California, then lost to Stephanie Rottier. At the WTA Manhattan Beach event, she upset Gigi Fernández and Elena Likhovtseva, then lost to Gabriela Sabatini in the round of 16.  Her wins over Maleeva, Fernandez, and Likhovtseva began a buzz that Austin might become at least a top 20 player again. However, in 1994, her results were not as promising and at the Evert Cup in Indian Wells, California, Austin lost in the second round to Steffi Graf, and Austin soon retired in June 1994.[23]
Since retiring as a player, Austin has worked as a commentator for NBC and the USA Network for the French Open and the US Open. During the 2000s, she worked for the Seven Network, which broadcast the Australian Open and usually participates in the BBC's Wimbledon coverage. She began working for the Tennis Channel in 2010 and joined its US Open team and later its Australian Open team in 2012. Austin has worked for Canadian television for its coverage of the Rogers Cup since 2004."
"{'column_header': ['born', 'occupation', 'spouses'], 'row_number': [1, 1, 1], 'content': ['(1950-06-03) 3 June 1950 (age\xa073)Rome', 'actor', 'Patrizia\n\u200b \u200b(m.\xa01973, divorced)\u200b\n\nBarbara Divita\n\u200b \u200b(m.\xa01977; died\xa02014)\u200b\n\nSimonetta Benincasa \u200b(m.\xa02024)\u200b']}","Maurizio Mattioli (born 3 June 1950) is an Italian actor and comedian.
Born in Rome, Mattioli started his career in 1973, when he appeared in the RAI variety show Dove sta Zazà.[1] He got his first successes as a member of the stage company ""Il Bagaglino"", with whom he worked in a number of stage and television projects between seventies and early nineties.[1][2] Mattioli later established himself as one of the most active character actors in Italian cinema,[1] and he was nominated twice in the best supporting actor category at the Nastro d'Argento, in 2003 for Carlo Vanzina's Sunday Lunch[3]  and in 2011 for Paolo Genovese's The Immature.[4]"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'weight', 'school', 'university', 'position(s)', 'current_team', '2007', '2008–2010', 'years', '2009–2013', '2015–present', '2013', '2014'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Victor Eric Kruger', '(1989-01-19) 19 January 1989 (age\xa035)', 'Welkom, South Africa', '1.99\xa0m (6\xa0ft 6+1⁄2\xa0in)', '114\xa0kg (17\xa0st 13\xa0lb; 251\xa0lb)', 'Hoërskool Strand, Strand', 'North-West University', 'Lock', 'Rustenburg Impala', 'Boland Cavaliers', 'Leopards', 'NWU Pukke', '28', '(Points)', '(5)', 'Rustenburg Impala']}","He was part of the Boland U19 squad that played in the 2007 Under-19 Provincial Championship competition. He then moved to Potchefstroom, where he joined the Leopards, as well as university side NWU Pukke. He was included in the Leopards U19 squad for the 2008 Under-19 Provincial Championship competition and in the Leopards U21 squad for the 2009 and 2010 Under-21 Provincial Championship competitions.
He was part of the Boland U19 squad that played in the 2007 Under-19 Provincial Championship competition. He then moved to Potchefstroom, where he joined the Leopards, as well as university side NWU Pukke. He was included in the Leopards U19 squad for the 2008 Under-19 Provincial Championship competition and in the Leopards U21 squad for the 2009 and 2010 Under-21 Provincial Championship competitions.
He also played for – and captained[2] – the NWU Pukke in the Varsity Cup competition, representing them from 2009 to 2013.
He joined Griquas in 2013 on a short-term contract, following a series of injuries to Griquas locks.[7][8]
He joined Wellington-based side Boland Cavaliers prior to the 2014 season.[9]"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', 'number', '0000–2015', '2016–2019', 'years', '2015–2016', '2019–2020', '2020–2021', '2021–2022', '2023–', '2016', '2017'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Midana Quintino Sambú', '(1998-06-10) 10 June 1998 (age\xa025)', 'Bissau, Guinea-Bissau', '1.70\xa0m (5\xa0ft 7\xa0in)', 'Winger, attacking midfielder', 'Belenenses', '11', 'Sacavenense', '(Gls)', 'Team', 'Apps', 'Sacavenense', '1', '(0)', 'Braga B', '11', '(0)']}","On 27 September 2017, Sambú made his professional debut with Braga B in a 2017–18 LigaPro match against Famalicão.[1]"
"{'column_header': ['nominated_by', 'appointed_by', 'prime_minister', 'minister', 'preceded_by', 'born'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['N. V. Ramana', 'Ram Nath Kovind', 'Narendra Modi', 'Ravi Shankar Prasad  Kiren Rijiju', 'Alok Srivastava, IAS', '(1963-03-06) 6 March 1963 (age\xa061)']}","Anoop Kumar Mendiratta (born 6 March 1963) is an Indian Judge. Presently, he is serving as Judge of Delhi High Court. Previously, he has served as Law Secretary of India.
He also served as the Principal Secretary (Law) in the Government of the National Capital Territory of Delhi, during which he had disagreements with Delhi law minister Kailash Gahlot, resulting in his repatriation to his parent judicial cadre.[2]"
"{'column_header': ['born', 'genres', 'occupations'], 'row_number': [1, 1, 1], 'content': ['(1994-08-16) August 16, 1994 (age\xa029)', 'Pop', 'Singersongerwriter']}","Áine Cahill (born 16 August 1994) is a pop singer-songwriter from County Cavan, Ireland. She spent her childhood heavily involved with her local GAA club, Ballyhaise, then discovered her love of music at the age of 16. She is inspired by current music, citing Lady Gaga, Lana Del Rey and Marina and the Diamonds as her main influences but combines that with her love of classic Jazz from the 1950s. Cahills's unique sound and writing style captivates the listener; her storytelling evoking emotion and vivid imagery, allowing the audience to escape into her world."
"{'column_header': ['birth_name', 'born', 'genres', 'occupation(s)', 'instrument(s)'], 'row_number': [1, 1, 1, 1, 1], 'content': ['Isabella Levina Lueen', '(1991-05-01) 1 May 1991 (age\xa033)Bonn, Germany', 'Pop', 'Singersongwriter', 'Vocals']}","Isabella Levina Lueen (born 1 May 1991), better known mononymously as Levina (German pronunciation: [lɛˈviːna]), is a German singer-songwriter. She represented Germany in the Eurovision Song Contest 2017 in Kyiv with the song ""Perfect Life"" and finished in 25th place with 6 points in the final.[1][2][3]
Levina was born in Bonn as Isabella Lueen, and was raised in Chemnitz. She attended the Dr.-Wilhelm-André-Gymnasium, and graduated with an International Baccalaureate degree from the Impington Village College in Cambridge (UK) in 2009. She then moved to London where she earned her bachelor's degree from King's College London. She splits her time between Berlin and London, where she studies music management at the London College of Music.[4]"
"{'column_header': ['preceded_by', 'succeeded_by', 'parliamentary_group', 'born', 'political_party', 'profession'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Bernard Moncla', 'Clément Rossignol Puech', 'Green', '(1948-12-25) 25 December 1948 (age\xa075)Libourne, Gironde, France', 'GE (1990–1994)CES (1994–1998)LV (1998–2010)EELV (2010–2013)Génération.s (2017–2018)', 'Journalist']}","Noël Mamère (French pronunciation: [nɔɛl mamɛʁ]; born 25 December 1948) is a French journalist and politician. He was the mayor of Bègles in Gironde as well as deputy to the French National Assembly for that constituency. He was for several years a member of the party Europe Écologie–The Greens, but left it in late September 2013."
"{'column_header': ['born', 'occupation(s)'], 'row_number': [1, 1], 'content': ['Anna Louise Burgstede (1983-09-18) September 18, 1983 (age\xa040)Waupaca, Wisconsin', 'Film, television actress film and television writer']}","Annie Burgstede (born Anna Louise Burgstede on September 18, 1983, in Waupaca, Wisconsin) is an American actress.
This article about a United States film and television actor born in the 1980s is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['born', 'nationality', 'alma\xa0mater', 'occupation(s)', 'parent', 'relatives', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1], 'content': ['(1957-07-07) 7 July 1957 (age\xa066)Hamburg, West Germany', 'German', 'Muthesius Academy', 'Media entrepreneur, musician', 'Werner Otto', 'Michael Otto (brother)Katharina Otto-Bernstein (sister)Alexander Otto (brother)', 'Frank Otto Medien']}","Frank Otto (born 7 July 1957) is a German media entrepreneur and pioneer in the field of private radio and private television in Germany. Aside from Frank Otto Medien Beteiligungs GmbH & Co.KG, he is also involved in various radio and TV stations.
Frank Otto is the second-eldest son of Werner Otto, the founder of the Otto Group. Born in Hamburg, he was trained as a restorer of paper and graphics at the Hamburg Museum of Arts and Crafts and studied Fine Art at the Muthesius Academy of Kiel. After that, he was active as a musician and music producer."
